comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,pictures,parent_comment_id,last_modify_ts,like_count
68e86301000000003300d07c,1760060161000,,68c90c5e000000001300f86d,昨天开启了百亿补贴，又降价了550，还无法保价[石化R],5e42b52a0000000001002cbb,watt,https://sns-avatar-qc.xhscdn.com/avatar/5e42b556c1e2f000016f75e6.jpg?imageView2/2/w/120/format/jpg,16,,0,1763796258511,261
68c9e649000000003000f7af,1758062153000,,68c90c5e000000001300f86d,我去，感觉大疆进入这个市场就是降维打击啊,62a589fa000000001b02420c,月立西冬,https://sns-avatar-qc.xhscdn.com/avatar/62d297cd268b756e15186650.jpg?imageView2/2/w/120/format/jpg,52,,0,1763796258515,4818
68d790d60000000001013935,1758957783000,,68c90c5e000000001300f86d,现在扫地机器人都涨价了 因为大疆进场了 5k的和别的家2k3k的功能一样 其他家更高档的4k5k产品卖不出去 所以一起涨了,59eb0e16e8ac2b269d6b7300,213145,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31p62bktdiu0049uoq571cso04fdbbto?imageView2/2/w/120/format/jpg,15,,0,1763796258522,1717
68d5ec01000000000a00fd6d,1758850049000,,68c90c5e000000001300f86d,说个价格让我死心[捂脸R],5b83d951233b2000010de1ef,快乐是那莫重要,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31o9qocf3mm604akngecl3offq7f08ng?imageView2/2/w/120/format/jpg,1,,0,1763796258525,121
68e20b340000000033007251,1759644468000,,68c90c5e000000001300f86d,大疆扫地机再进化几代怕不是能飞啊,5e3d0632000000000100b794,吸星尘的吸尘器,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo316gsbnd9ha5g5nht0op09dskdkq1c90?imageView2/2/w/120/format/jpg,7,,0,1763796258530,98
68e713a000000000380054da,1759974305000,,68c90c5e000000001300f86d,今天降价了，建议up去申请保价…[笑哭R],6409b65f000000002a00ab3f,画-绘画-游戏,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo310ct6ebb6c005p09mpfqhapv0i5dfr0?imageView2/2/w/120/format/jpg,9,,0,1763796258534,82
68ca473e0000000030028375,1758086974000,,68c90c5e000000001300f86d,大疆吸的时候遇到一小滩水会怎么样呢？,577d46d550c4b47fcb1ea5d1,Ooii,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31c5mmvctgs0048hati3db9ehsrrar7g?imageView2/2/w/120/format/jpg,5,,0,1763796258541,71
68d963e50000000002027aaa,1759077349000,,68c90c5e000000001300f86d,今天刚路过看到[笑哭R]结果就看到小红书了,60a24eff000000000100055f,一只扁扁,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ao6fg4k6q005o529rvg81avcccvv0o?imageView2/2/w/120/format/jpg,7,,0,1763796258548,60
68e4be61000000003901f0ee,1759821409000,,68c90c5e000000001300f86d,这个好用还是石头好用,61506c65000000000201f272,momo,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31kks2m66k8505oagdhigjsji2b1lc4o?imageView2/2/w/120/format/jpg,22,,0,1763796258555,9
68d6624b000000000800c163,1758880331000,,68c90c5e000000001300f86d,透明版好好看，可惜我买了普通版,64cf8358000000000b00473f,桐庐本地人Jeff,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31545uvh50m6g5p6fgdc2ohpv16er64g?imageView2/2/w/120/format/jpg,5,,0,1763796258561,24
68e8cd5c000000003300578f,1760087390000,,68c90c5e000000001300f86d,选择退货重新下单,5e42b52a0000000001002cbb,watt,https://sns-avatar-qc.xhscdn.com/avatar/5e42b556c1e2f000016f75e6.jpg?imageView2/2/w/120/format/jpg,0,http://sns-webpic-qc.xhscdn.com/202511221524/a3adbd61f682d21f40e96a3790494531/comment/1040g2h031nf1a1al6g005ni2mkl08b5r44r14u8!nd_whgt34_webp_wm_1,68e86301000000003300d07c,1763796260566,275
68e8cd8a0000000037027cc1,1760087434000,,68c90c5e000000001300f86d,TB平台客服真的体验好差 还是88VIP都没用 还好大疆的客服挺好的,5e42b52a0000000001002cbb,watt,https://sns-avatar-qc.xhscdn.com/avatar/5e42b556c1e2f000016f75e6.jpg?imageView2/2/w/120/format/jpg,0,,68e874090000000038026d9a,1763796260730,89
68e9095b0000000038012e84,1760102748000,,68c90c5e000000001300f86d,我现在买东西只用pdd，淘宝客服差的要死,5f69f7a90000000001006d87,hl,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ld2fl025e0g5nr9uukg8rc7e7ivi38?imageView2/2/w/120/format/jpg,0,,68e8cd8a0000000037027cc1,1763796260737,41
68e9bfae0000000039022bfb,1760149423000,,68c90c5e000000001300f86d,@--。--.,5ac03eca11be10698909fda6,开心小猫（见过林俊杰版,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31cdckf760c004a46cmvclvd6tf25l28?imageView2/2/w/120/format/jpg,0,,68e8cd5c000000003300578f,1763796260742,2
68e9bffd00000000380260c8,1760149502000,,68c90c5e000000001300f86d,hi请问您旗舰版最后买成是什么价格呀？,5f4782e0000000000101f462,来碗东坡鱼,https://sns-avatar-qc.xhscdn.com/avatar/62b0d6e694d66542c42fe066.jpg?imageView2/2/w/120/format/jpg,0,,68e8cd5c000000003300578f,1763796260746,2
68e9cbd70000000033005547,1760152535000,,68c90c5e000000001300f86d,4699,5e42b52a0000000001002cbb,watt,https://sns-avatar-qc.xhscdn.com/avatar/5e42b556c1e2f000016f75e6.jpg?imageView2/2/w/120/format/jpg,0,,68e9bffd00000000380260c8,1763796260758,3
68e9cc3c000000003300f7dc,1760152637000,,68c90c5e000000001300f86d,[笑哭R]pdd有些商品质量差一些 只敢买些低价值的商品,5e42b52a0000000001002cbb,watt,https://sns-avatar-qc.xhscdn.com/avatar/5e42b556c1e2f000016f75e6.jpg?imageView2/2/w/120/format/jpg,0,,68e9095b0000000038012e84,1763796262932,0
68e9d5940000000038010043,1760155028000,,68c90c5e000000001300f86d,还行，我现在买东西都是pxx，淘宝京东压根不用，客服就和机器人一样，遇到问题不解决，,5f69f7a90000000001006d87,hl,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ld2fl025e0g5nr9uukg8rc7e7ivi38?imageView2/2/w/120/format/jpg,0,,68e9cc3c000000003300f7dc,1763796262941,1
68eef7c200000000390290e2,1760491459000,,68c90c5e000000001300f86d,今天4299,5a7e6b14e8ac2b491cf2655e,田田爱吃橙橙,https://sns-avatar-qc.xhscdn.com/avatar/6141604700800c3baabf205f.jpg?imageView2/2/w/120/format/jpg,0,,68e9cbd70000000033005547,1763796262945,0
68ef0b4e0000000033007e5e,1760496462000,,68c90c5e000000001300f86d,我要疯了 在和客服保价沟通中,5e42b52a0000000001002cbb,watt,https://sns-avatar-qc.xhscdn.com/avatar/5e42b556c1e2f000016f75e6.jpg?imageView2/2/w/120/format/jpg,0,,68eef7c200000000390290e2,1763796262949,0
68f1c3610000000038017c68,1760674657000,,68c90c5e000000001300f86d,黑钻88VIP他们态度好的不得了[偷笑R],64804b56000000002a03564d,cappUCcino,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31edg7vc8gk005p409dbamlidmb2dsio?imageView2/2/w/120/format/jpg,0,,68e8cd8a0000000037027cc1,1763796262958,0
68f4d7fa0000000039028a7e,1760876539000,,68c90c5e000000001300f86d,真的 支持,67513f11000000001d02e3c7,雨泽,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31oa7er9el0dg5pqh7s8ndou7q56ca8o?imageView2/2/w/120/format/jpg,0,,68e9095b0000000038012e84,1763796265148,0
68f712910000000033020308,1761022609000,,68c90c5e000000001300f86d,真的pdd的商家比淘宝都搞,613d85a70000000002019b95,一定要闪闪发光,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31o56emih5m6g5o9tgmjgj6slh08voeg?imageView2/2/w/120/format/jpg,0,,68e9095b0000000038012e84,1763796265157,0
